,Book,Author,Genres,Avg_Rating
3374,"Patriot Games (Jack Ryan, #1)",Tom Clancy,"['Fiction', 'Thriller', 'Mystery', 'Suspense']",4.15
3375,The Boys from Brazil,Ira Levin,"['Fiction', 'Thriller', 'Horror', 'Science Fiction', 'Mystery', 'Historical Fiction', 'Classics']",4.06
3376,Blood Fund: A Novel,R.C. Westyn,"['Novels', 'Contemporary', 'Adult', 'Drama', 'Fiction', 'Young Adult', 'Mystery']",4.22
3377,God's Smuggler,Brother Andrew,"['Christian', 'Biography', 'Nonfiction', 'History', 'Memoir']",4.33
3378,"Cross (Alex Cross, #12)",James Patterson,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller']",4.03
3379,Under the Whispering Door,T.J. Klune,"['Fantasy', 'Fiction', 'Romance', 'Audiobook', 'Adult']",4.18
3380,This Side of Paradise,F. Scott Fitzgerald,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'Romance']",3.65
3381,All Hallows Eve (New England Witch Chronicles #4),Chelsea Luna,"['Young Adult', 'Paranormal', 'Fantasy', 'Magic']",4.3
3382,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",Rachel Joyce,"['Fiction', 'Contemporary', 'Audiobook', 'British Literature', 'Adult Fiction', 'Literary Fiction']",3.93
3383,A Certain Age,Tama Janowitz,"['Fiction', 'Chick Lit', 'Contemporary', 'Novels', 'Literary Fiction']",3.31
3384,The Midnight Library,Matt Haig,"['Fiction', 'Fantasy', 'Contemporary', 'Audiobook', 'Adult', 'Science Fiction']",4.02
3385,The Dragon Storm - Gates,Anthony DiPaolo,"['Fantasy', 'Urban Fantasy', 'Paranormal']",4.32
3386,The Element: How Finding Your Passion Changes Everything,Ken Robinson,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Business', 'Philosophy']",3.86
3387,Outsourced World - Seducing Goddess Durga During the Clinton Era,GRWilson,"['Adventure', 'Nonfiction', 'Adult', 'New Adult', 'Contemporary']",4.18
3388,The Dip: A Little Book That Teaches You When to Quit,Seth Godin,"['Business', 'Nonfiction', 'Self Help', 'Personal Development', 'Psychology']",3.8
3389,Under the Skin,Michel Faber,"['Fiction', 'Science Fiction', 'Horror', 'Fantasy', 'Thriller', 'Mystery']",3.74
3390,Stalker Stalked,Lee Matthew Goldberg,"['Fiction', 'Mystery', 'Drama', 'Contemporary']",4.15
3391,The How of Happiness: A Scientific Approach to Getting the Life You Want,Sonja Lyubomirsky,"['Psychology', 'Nonfiction', 'Self Help', 'Personal Development', 'Science', 'Philosophy']",3.9
3392,The House of the Seven Gables,Nathaniel Hawthorne,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'American', 'Horror']",3.45
3393,Man of the Year,Caroline Louise Walker,"['Thriller', 'Fiction', 'Mystery', 'Suspense', 'Mystery Thriller', 'Contemporary']",3.52
3394,Food Rules: An Eater's Manual,Michael Pollan,"['Nonfiction', 'Science', 'Self Help']",3.99
3395,R.U.R.,Karel Čapek,"['Science Fiction', 'Classics', 'Fiction', 'Drama', 'Dystopia']",3.83
3396,The Three Stigmata of Palmer Eldritch,Philip K. Dick,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Novels', 'Dystopia', 'Fantasy']",4.01
3398,"Death & the Zombie Apocalypse (Zombie Apocalypse, #2)",Chelsea Luna,"['Romance', 'Horror', 'Young Adult', 'Dystopia', 'Fantasy']",4.16
3399,"Revelations (Ruin, #2)",Lucian Bane,"['Paranormal', 'Fantasy', 'Romance']",4.3
3400,I Am Pilgrim,Terry Hayes,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Mystery Thriller', 'Suspense']",4.28
3401,"Tree of Life with Spiritual Poetry (AoL Mindfulness, #9)",Nataša Pantović,"['Poetry', 'Spirituality', 'Nonfiction', 'Self Help', 'Philosophy', 'Adult']",4.57
3402,Self-Compassion: The Proven Power of Being Kind to Yourself,Kristin Neff,"['Self Help', 'Nonfiction', 'Psychology', 'Personal Development', 'Audiobook']",4.13
3403,Necessary People,Anna Pitoniak,"['Thriller', 'Fiction', 'Mystery', 'Mystery Thriller', 'Contemporary', 'Suspense', 'Adult']",3.72
3404,"Moab Is My Washpot (Memoir, #1)",Stephen Fry,"['Nonfiction', 'Biography', 'Memoir', 'Autobiography', 'Humor', 'Biography Memoir']",3.92
3405,Empire Falls,Richard Russo,"['Fiction', 'Contemporary', 'Literary Fiction', 'Literature', 'Novels', 'Adult Fiction']",3.93
3406,"Case of the Ivy Hollow Werewolf (Monster Club, #1)",Chelsea Luna,"['Middle Grade', 'Childrens']",4.22
3407,Songs of Innocence and of Experience,William Blake,"['Poetry', 'Classics', 'Fiction', 'Literature']",4.09
3408,THE DIARY OF A CANADIAN NOBODY: The diary of a Mr. Nobody and how the war on terror affects his modern family,Arthur Paul James,"['Young Adult', 'Fiction', 'Drama', 'Adult', 'Novels']",4.23
3409,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"['Fantasy', 'Fiction', 'Short Stories', 'Audiobook', 'High Fantasy', 'Adult', 'Magic']",4.14
3410,The Mothers,Brit Bennett,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Adult', 'Adult Fiction']",3.9
3412,Do the Work,Steven Pressfield,"['Nonfiction', 'Self Help', 'Business', 'Personal Development', 'Psychology']",3.96
3413,"The Mysterious Benedict Society and the Perilous Journey (The Mysterious Benedict Society, #2)",Trenton Lee Stewart,"['Mystery', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure', 'Childrens', 'Fantasy']",4.21
3414,Small Island,Andrea Levy,"['Fiction', 'Historical Fiction', 'Historical', 'Literary Fiction', 'British Literature', 'War', 'Novels']",4.0
3415,The Magic Strings of Frankie Presto,Mitch Albom,"['Fiction', 'Historical Fiction', 'Audiobook', 'Fantasy', 'Adult']",4.36
3416,Valentine,Julie Mannino,"['Fantasy', 'Romance']",4.36
3417,The Drifters,James A. Michener,"['Fiction', 'Historical Fiction', 'Classics', 'Novels', 'Adventure', 'Historical']",4.05
3418,Faust,Johann Wolfgang von Goethe,"['Classics', 'Fiction', 'Poetry', 'Literature', 'Drama']",3.91
3419,Unless,Carol Shields,"['Fiction', 'Literary Fiction', 'Contemporary', 'Novels', 'Literature']",3.63
3420,"Love & the Zombie Apocalypse (Zombie Apocalypse, #1)",Chelsea Luna,"['Horror', 'Romance', 'Young Adult', 'Dystopia', 'Science Fiction']",3.93
3421,The Sexy Part of the Bible,Kola Boof,"['Fiction', 'Science Fiction', 'Contemporary']",3.66
3422,"Burning in Water, Drowning in Flame",Charles Bukowski,"['Poetry', 'Fiction', 'Classics', 'Literature', 'American']",4.08
3423,The Two Gentlemen of Verona,William Shakespeare,"['Classics', 'Drama', 'Fiction', 'Literature', 'Poetry']",3.4
3424,Elsewhere,Gabrielle Zevin,"['Young Adult', 'Fantasy', 'Fiction', 'Romance', 'Paranormal']",3.91
3425,Promises,Julie Mannino,"['Fantasy', 'Romance']",4.73
3426,By the River Piedra I Sat Down and Wept,Paulo Coelho,"['Fiction', 'Romance', 'Philosophy', 'Novels', 'Spirituality', 'Contemporary']",3.57
3427,And Quiet Flows the Don,Mikhail Sholokhov,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'War']",4.11
3428,Ghosts,Henrik Ibsen,"['Classics', 'Drama', 'Fiction']",3.82
3430,Anatomy of the Spirit: The Seven Stages of Power and Healing,Caroline Myss,"['Spirituality', 'Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Philosophy']",4.14
3431,Cynric Ella,Julie Mannino,"['Fantasy', 'Romance']",4.29
3432,The Cost of Discipleship,Dietrich Bonhoeffer,"['Christian', 'Religion', 'Nonfiction']",4.29
3433,"Monsters of Men (Chaos Walking, #3)",Patrick Ness,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy', 'Fiction', 'Adventure', 'War']",4.23
3434,"The Player of Games (Culture, #2)",Iain M. Banks,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Fantasy']",4.28
3435,"The Young Elites (The Young Elites, #1)",Marie Lu,"['Fantasy', 'Young Adult', 'Dystopia', 'Romance', 'Fiction', 'Magic']",3.87
3436,Business Adventures,John Brooks,"['Business', 'Nonfiction', 'History']",3.82
3437,The Penelopiad,Margaret Atwood,"['Fiction', 'Historical Fiction', 'Fantasy']",3.72
3438,Before the Fall,Noah Hawley,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Contemporary']",3.72
3439,An Anthropologist on Mars: Seven Paradoxical Tales,Oliver Sacks,"['Nonfiction', 'Science', 'Psychology']",4.15
3440,Top Girls,Caryl Churchill,"['Drama', 'Fiction', 'School', 'Classics']",3.58
3441,My Graphic Bipolar Fantasies: & Other Short Stories,R.B. Le`Deach,"['Drama', 'Nonfiction']",4.31
3442,The Seal Cove Theoretical Society,S.W. Clemens,"['Fiction', 'Novels']",4.34
3443,A Mango-Shaped Space,Wendy Mass,"['Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Childrens']",4.21
3444,"Moon Called (Mercy Thompson, #1)",Patricia Briggs,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance']",4.15
3445,"Faceless Killers (Kurt Wallander, #1)",Henning Mankell,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller']",3.77
3446,The Twelve Chairs,Ilya Ilf,"['Fiction', 'Classics', 'Humor', 'Literature']",4.4
3447,"Brimstone (Pendergast, #5; Diogenes, #1)",Douglas Preston,"['Mystery', 'Thriller', 'Fiction', 'Horror', 'Mystery Thriller', 'Suspense', 'Crime']",4.15
3448,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,"['Nonfiction', 'Audiobook', 'Adult']",4.51
3449,The Girl with the Lower Back Tattoo,Amy Schumer,"['Nonfiction', 'Memoir', 'Humor', 'Audiobook', 'Biography', 'Autobiography']",3.73
3450,Three Kingdoms (4-Volume Boxed Set),Luo Guanzhong,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical']",4.37
3451,"The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1)",Catherynne M. Valente,"['Fantasy', 'Young Adult', 'Middle Grade', 'Fiction', 'Childrens', 'Adventure']",3.95
3452,I Thought It Was Just Me: Women Reclaiming Power and Courage in a Culture of Shame,Brené Brown,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook']",4.2
3453,"The Beast Within (Blindfold, Inc., #1)",Liz  Cowan,"['Romance', 'Contemporary', 'Young Adult', 'Fiction', 'Adult', 'Mystery', 'New Adult']",3.9
3454,"Parable of the Talents (Earthseed, #2)",Octavia E. Butler,"['Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Science Fiction Fantasy']",4.3
3456,Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape,Jenna Miscavige Hill,"['Nonfiction', 'Memoir', 'Religion', 'Biography', 'Audiobook', 'Biography Memoir']",3.76
3458,زندگی در پیش رو,Romain Gary,"['Fiction', 'Classics', 'Novels', 'Literature']",4.2
3459,"The Threat Below (Brathius History, #1)",Jason Latshaw,"['Fantasy', 'Young Adult', 'Dystopia', 'Fiction', 'Adventure', 'Science Fiction']",4.11
3460,Someone We Know,Shari Lapena,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime']",3.94
3461,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,"['Nonfiction', 'History', 'Politics', 'Biography', 'Audiobook']",4.44
3462,Corpalism,Arun D. Ellis,"['Dystopia', 'Fiction', 'Science Fiction', 'Politics', 'Thriller', 'Horror', 'Fantasy']",3.34
3463,The Sky Is Everywhere,Jandy Nelson,"['Young Adult', 'Contemporary', 'Romance', 'Fiction']",3.97
3464,Hedda Gabler,Henrik Ibsen,"['Classics', 'Drama', 'Fiction', 'School']",3.82
3465,"Emotional First Aid: Practical Strategies for Treating Failure, Rejection, Guilt, and Other Everyday Psychological Injuries",Guy Winch,"['Psychology', 'Nonfiction', 'Self Help', 'Personal Development', 'Science']",3.85
3466,North of Beautiful,Justina Chen,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Chick Lit']",3.92
3467,"The Demon King (Seven Realms, #1)",Cinda Williams Chima,"['Fantasy', 'Young Adult', 'Magic', 'Romance', 'High Fantasy', 'Fiction']",4.15
3468,"Organizing from the Inside Out: The Foolproof System for Organizing Your Home, Your Office and Your Life",Julie Morgenstern,"['Nonfiction', 'Self Help', 'Personal Development', 'Business', 'Psychology']",3.84
3469,Lesson (Lessons #1),Julie Mannino,"['Romance', 'Fantasy']",4.42
3470,"The Book of Three (The Chronicles of Prydain, #1)",Lloyd Alexander,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Classics', 'Adventure']",3.98
3471,The Overcoat,Nikolai Gogol,"['Classics', 'Short Stories', 'Fiction', 'Literature']",4.15
3472,A Single Shard,Linda Sue Park,"['Historical Fiction', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Historical']",3.93
3473,The Known World,Edward P. Jones,"['Historical Fiction', 'Fiction', 'Historical', 'Literature', 'Novels', 'Literary Fiction']",3.83
3474,"The Silent Corner (Jane Hawk, #1)",Dean Koontz,"['Thriller', 'Mystery', 'Fiction', 'Suspense', 'Horror', 'Mystery Thriller', 'Audiobook']",3.94
3475,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,"['History', 'Nonfiction', 'Historical', 'Biography', 'War']",3.87
3476,Five Quarters of the Orange,Joanne Harris,"['Fiction', 'Historical Fiction', 'Historical', 'War']",3.86
3477,Rubyfruit Jungle,Rita Mae Brown,"['Fiction', 'Classics']",3.92
3478,"The Innocent (Will Robie, #1)",David Baldacci,"['Thriller', 'Fiction', 'Mystery', 'Suspense', 'Crime', 'Mystery Thriller', 'Audiobook']",4.16
3479,Leviathan,Thomas Hobbes,"['Philosophy', 'Politics', 'Classics', 'Nonfiction', 'History', 'School']",3.71
3480,Forever,Pete Hamill,"['Fiction', 'Historical Fiction', 'Fantasy', 'Historical']",3.95
3481,The First Fifteen Lives of Harry August,Claire North,"['Science Fiction', 'Fiction', 'Fantasy', 'Historical Fiction', 'Audiobook', 'Adult']",4.03
3482,A Mind for Numbers: How to Excel at Math and Science,Barbara Oakley,"['Nonfiction', 'Science', 'Self Help', 'Psychology']",4.2
3483,The Big Leap: Conquer Your Hidden Fear and Take Life to the Next Level,Gay Hendricks,"['Self Help', 'Nonfiction', 'Personal Development', 'Business', 'Psychology', 'Audiobook']",3.99
3484,In the Land of Boxes,Kim Hebert,"['Contemporary', 'Novels', 'Fiction', 'Drama', 'Childrens']",4.38
3486,"The Silent Girl (Rizzoli & Isles, #9)",Tess Gerritsen,"['Mystery', 'Crime', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense']",4.14
3487,"Kidnapped (David Balfour, #1)",Robert Louis Stevenson,"['Classics', 'Fiction', 'Adventure', 'Historical Fiction', 'Young Adult', 'Literature']",3.79
3488,Oh Laxmi!,Catherine Forsayeth,"['Contemporary', 'Young Adult', 'Fiction', 'Adult', 'Drama', 'Mystery', 'New Adult']",4.14
3489,The Pit and the Pendulum,Edgar Allan Poe,"['Classics', 'Horror', 'Short Stories', 'Fiction', 'Mystery', 'Literature']",4.19
3490,"The Last Town (Wayward Pines, #3)",Blake Crouch,"['Science Fiction', 'Thriller', 'Fiction', 'Horror', 'Mystery', 'Dystopia']",4.1
3491,Fluent Forever: How to Learn Any Language Fast and Never Forget It,Gabriel Wyner,"['Nonfiction', 'Self Help', 'Personal Development', 'Psychology']",4.09
3492,The Upanishads,Anonymous,"['Religion', 'Philosophy', 'Spirituality', 'Classics', 'Nonfiction']",4.23
3493,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,"['Fantasy', 'Childrens', 'Fiction', 'Young Adult', 'Classics', 'Middle Grade']",3.92
3494,"Women, Race & Class",Angela Y. Davis,"['Nonfiction', 'History', 'Politics']",4.57
3495,Leon the Lion,Julie Mannino,['Fantasy'],4.71
3496,"Wild Seed (Patternmaster, #1)",Octavia E. Butler,"['Fantasy', 'Science Fiction', 'Fiction', 'Historical Fiction', 'Science Fiction Fantasy', 'Audiobook']",4.21
3497,"The Highlander (The Rise of the Aztecs, #1)",Zoe Saadia,"['Historical Fiction', 'Historical', 'Fiction', 'Fantasy', 'Adventure', 'Novels']",3.8
3498,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",R.A. Salvatore,"['Fantasy', 'Fiction', 'High Fantasy', 'Adventure', 'Science Fiction Fantasy']",4.26
3499,One Night with the Prince,T.M. Mendes,"['Romance', 'Contemporary', 'Young Adult', 'Humor', 'Contemporary Romance']",3.97
3500,The Visit,Friedrich Dürrenmatt,"['Classics', 'School', 'Drama', 'Fiction']",3.7
3501,The Iceman Cometh,Eugene O'Neill,"['Drama', 'Classics', 'Fiction', 'American', 'Literature']",3.9
3502,Underworld,Don DeLillo,"['Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction', 'Classics', 'Contemporary']",3.94
3503,"Magyk (Septimus Heap, #1)",Angie Sage,"['Fantasy', 'Young Adult', 'Middle Grade', 'Magic', 'Fiction', 'Childrens', 'Adventure']",3.85
3504,Martin Swans Diary: Black Water Crossing,Kyle Keyes,"['Fiction', 'Thriller', 'Adult', 'Drama', 'Novels', 'Mystery', 'Adult Fiction']",4.41
3505,The Last Don,Mario Puzo,"['Fiction', 'Crime', 'Thriller', 'Mystery', 'Classics', 'Novels', 'Historical Fiction']",3.87
3506,"Sworn to Silence (Kate Burkholder, #1)",Linda Castillo,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense']",4.03
3507,Kurintor Nyusi: Diverse Epic Fantasy,Aaron-Michael Hall,['Drama'],4.38
3508,Loving What Is: Four Questions That Can Change Your Life,Byron Katie,"['Self Help', 'Nonfiction', 'Spirituality', 'Psychology', 'Personal Development', 'Philosophy']",4.08
3509,"The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,"['Fantasy', 'Fiction', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure']",4.27
3510,"When Christ and His Saints Slept (Plantagenets #1; Henry II and Eleanor of Aquitaine, #1)",Sharon Kay Penman,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature']",4.25
3511,Sleeping Beauties,Stephen King,"['Horror', 'Fantasy', 'Fiction', 'Thriller', 'Audiobook', 'Mystery', 'Science Fiction']",3.73
3513,A Bad Case of Stripes (Scholastic Bookshelf),David Shannon,"['Childrens', 'Fiction', 'Fantasy', 'Humor', 'School']",4.26
3514,The Good Soldier Švejk,Jaroslav Hašek,"['Fiction', 'Classics', 'Humor', 'War', 'Historical Fiction', 'Literature']",4.09
3515,A Woman to Blame,Vincent Panettiere,"['Mystery', 'Fiction']",4.37
3516,Darkness Visible,William Golding,"['Fiction', 'Literature', 'Literary Fiction', 'Classics', 'Novels', 'Historical Fiction']",3.5
3517,Change Anything: The New Science of Personal Success,Kerry Patterson,"['Self Help', 'Nonfiction', 'Psychology', 'Personal Development', 'Business']",3.87
3518,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"['Business', 'Nonfiction', 'Self Help', 'Psychology', 'Personal Development']",4.06
3519,Rabbit-Proof Fence,Doris Pilkington,"['Nonfiction', 'History', 'Biography', 'Memoir', 'Historical', 'Biography Memoir']",3.69
3520,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,Christopher R. Browning,"['History', 'Nonfiction', 'Psychology', 'War', 'Historical']",4.09
3521,"From Russia With Love (James Bond, #5)",Ian Fleming,"['Fiction', 'Thriller', 'Mystery', 'Adventure', 'Classics', 'Mystery Thriller']",3.9
3522,"61 Hours (Jack Reacher, #14)",Lee Child,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Suspense', 'Mystery Thriller']",4.12
3523,Angels in America,Tony Kushner,"['Drama', 'Fiction', 'Classics']",4.28
3524,The Greatest Salesman in the World,Og Mandino,"['Business', 'Self Help', 'Nonfiction', 'Personal Development', 'Psychology', 'Philosophy']",4.2
3525,Snow,Orhan Pamuk,"['Fiction', 'Literature', 'Contemporary', 'Novels', 'Historical Fiction']",3.61
3526,The Bonesetter's Daughter,Amy Tan,"['Fiction', 'Historical Fiction', 'Historical', 'Contemporary']",3.99
3527,When Bad Things Happen to Good People,Harold S. Kushner,"['Nonfiction', 'Religion', 'Self Help', 'Philosophy', 'Spirituality', 'Psychology']",4.01
3528,Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,"['Nonfiction', 'Psychology', 'Self Help', 'Personal Development']",4.34
3529,Being the Bad Boy's Victim,Claire Monette,"['Contemporary', 'Romance', 'School', 'New Adult', 'Young Adult']",3.79
3530,A Short History of Tractors in Ukrainian,Marina Lewycka,"['Fiction', 'Contemporary', 'Humor', 'Novels']",3.43
3531,A Visit from the Goon Squad,Jennifer Egan,"['Fiction', 'Contemporary', 'Short Stories', 'Literary Fiction', 'Novels', 'Adult Fiction']",3.69
3532,A Woman After God's Own Heart,Elizabeth George,"['Christian', 'Nonfiction', 'Spirituality']",4.31
3533,My Best Friend's Brother,M.J. Thompson,"['Romance', 'Young Adult']",3.47
3534,If We Were Villains,M.L. Rio,"['Mystery', 'Fiction', 'Thriller', 'Contemporary', 'Mystery Thriller', 'Adult']",4.22
3535,Dolores Claiborne,Stephen King,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Crime', 'Audiobook']",3.91
3536,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,"['Fiction', 'Horror', 'Fantasy', 'Humor', 'Romance', 'Classics']",3.31
3537,Last Child in the Woods: Saving Our Children from Nature-Deficit Disorder,Richard Louv,"['Nonfiction', 'Science', 'Psychology']",3.94
3538,"Patient Zero (Joe Ledger, #1)",Jonathan Maberry,"['Horror', 'Thriller', 'Fiction', 'Science Fiction', 'Audiobook', 'Fantasy']",3.99
3539,Hate List,Jennifer Brown,"['Young Adult', 'Contemporary', 'Fiction']",4.0
3540,"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice",Shunryu Suzuki,"['Philosophy', 'Nonfiction', 'Spirituality', 'Religion', 'Self Help']",4.21
3541,The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,"['Self Help', 'Nonfiction', 'Spirituality', 'Philosophy', 'Psychology', 'Personal Development', 'Audiobook']",4.22
3542,The IX  (The IX #1),Andrew P. Weston,"['Science Fiction', 'Fantasy', 'Historical Fiction', 'Adventure', 'Fiction']",3.43
3543,"Tripwire  (Jack Reacher, #3)",Lee Child,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Suspense', 'Mystery Thriller']",4.11
3544,The Sailor Who Fell from Grace with the Sea,Yukio Mishima,"['Fiction', 'Classics', 'Literature', 'Novels']",3.87
3545,Escape,Carolyn Jessop,"['Nonfiction', 'Memoir', 'Biography', 'Religion', 'Biography Memoir', 'Autobiography']",3.96
3546,The God Complex,Chris Titus,"['Mystery', 'Thriller', 'Fiction', 'Religion', 'Mystery Thriller']",3.71
3547,The Gambler,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Literature', 'Novels']",3.9
3548,"Bartleby, the Scrivener: A Story of Wall Street",Herman Melville,"['Classics', 'Fiction', 'Short Stories', 'Literature', 'American', 'School']",3.93
3549,The Silent Wife,A.S.A. Harrison,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Suspense', 'Audiobook']",3.3
3550,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"['Nonfiction', 'Business', 'Personal Development', 'Psychology', 'Audiobook', 'Philosophy']",4.08
3551,The Midwich Cuckoos,John Wyndham,"['Science Fiction', 'Horror', 'Fiction', 'Classics', 'Fantasy', 'Science Fiction Fantasy', 'Audiobook']",3.91
3552,"Whitney, My Love (Westmoreland, #2)",Judith McNaught,"['Romance', 'Historical', 'Historical Fiction', 'Fiction', 'Adult']",4.12
3553,Guts,Chuck Palahniuk,"['Short Stories', 'Fiction', 'Horror', 'Contemporary', 'Humor', 'American']",3.88
3554,"Labyrinth (Languedoc, #1)",Kate Mosse,"['Historical Fiction', 'Fiction', 'Fantasy', 'Mystery', 'Historical', 'Thriller']",3.61
3555,This is Where I Leave You,Jonathan Tropper,"['Fiction', 'Humor', 'Contemporary', 'Adult Fiction', 'Adult']",3.88
3556,"Lethal White (Cormoran Strike, #4)",Robert Galbraith,"['Mystery', 'Fiction', 'Crime', 'Audiobook', 'Thriller', 'Mystery Thriller']",4.24
3557,The Anxiety and Phobia Workbook,Edmund J. Bourne,"['Psychology', 'Self Help', 'Nonfiction', 'Personal Development']",4.06
3558,"Declutter Your Mind: How to Stop Worrying, Relieve Anxiety, and Eliminate Negative Thinking",S.J. Scott,"['Self Help', 'Nonfiction', 'Psychology', 'Personal Development']",3.69
3559,Hold Me Tight: Seven Conversations for a Lifetime of Love,Sue Johnson,"['Psychology', 'Nonfiction', 'Self Help']",4.11
3560,The Great Dune Trilogy,Frank Herbert,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Novels']",4.36
3561,Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,"['Science', 'Philosophy', 'Nonfiction', 'History', 'Psychology']",4.06
3562,The Language Instinct: How the Mind Creates Language,Steven Pinker,"['Nonfiction', 'Science', 'Psychology', 'Philosophy']",4.01
3563,The Cat in the Hat and Other Dr. Seuss Favorites,Dr. Seuss,"['Childrens', 'Classics', 'Fiction', 'Poetry', 'Audiobook', 'Fantasy']",4.43
3564,"Beautiful Chaos (Caster Chronicles, #3)",Kami Garcia,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Magic', 'Fiction']",3.92
3565,Twisted,Anna Gallegos,['Horror'],4.5
3566,"Unseen Academicals (Discworld, #37; Rincewind, #8)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Science Fiction Fantasy', 'Audiobook', 'Magic']",3.99
3567,Kargaroth: A Tale of the Great Onion Knighthood,Mark B. Frost,['Fantasy'],4.55
3568,Savvy Sage Online (Savvy Sage Online #1),Richard Sprout,"['Drama', 'Fiction', 'Contemporary', 'Romance']",4.19
3569,Gargantua and Pantagruel,François Rabelais,"['Classics', 'Fiction', 'Literature', 'Humor', 'Fantasy']",3.68
3570,Oleanna,David Mamet,"['Drama', 'Fiction', 'American', 'Classics']",3.61
3571,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",Terry Pratchett,"['Fantasy', 'Young Adult', 'Fiction', 'Humor', 'Childrens', 'Magic', 'Audiobook']",4.31
3572,"The Return of Sherlock Holmes (Sherlock Holmes, #6)",Arthur Conan Doyle,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Crime', 'Audiobook']",4.28
3573,"Moonraker (James Bond, #3)",Ian Fleming,"['Fiction', 'Thriller', 'Mystery', 'Adventure', 'Classics', 'Audiobook']",3.78
3574,"The Cabinet of Curiosities (Pendergast, #3; Nora Kelly, #0B)",Douglas Preston,"['Mystery', 'Thriller', 'Fiction', 'Horror', 'Mystery Thriller', 'Suspense', 'Crime']",4.26
3575,"Wind from the Abyss (Silistra, #3)",Janet E. Morris,"['Fantasy', 'Science Fiction', 'Dystopia', 'Fiction']",3.99
3576,The Princess Diarist,Carrie Fisher,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Humor', 'Autobiography']",3.69
